views,users
1,7
2,2
3,1
4,1
5,3
6,18
7,27
8,81
9,118
10,158
11,238
12,358
13,441
14,488
15,542
16,526
17,525
18,462
19,423
20,388
21,312
22,300
23,275
24,245
25,292
26,275
27,327
28,385
29,411
30,444
31,480
32,482
33,489
34,463
35,483
36,451
37,426
38,395
39,385
40,349
41,398
42,377
43,395
44,404
45,383
46,356
47,412
48,453
49,406
50,381
51,383
52,415
53,376
54,353
55,354
56,375
57,366
58,354
59,355
60,338
61,372
62,386
63,341
64,359
65,369
66,376
67,360
68,329
69,314
70,348
71,353
72,315
73,332
74,303
75,337
76,278
77,288
78,306
79,327
80,290
81,290
82,278
83,281
84,308
85,251
86,281
87,286
88,238
89,236
90,258
91,259
92,252
93,220
94,253
95,228
96,219
97,234
98,221
99,210
100,196
101,224
102,216
103,208
104,211
105,217
106,222
107,216
108,183
109,219
110,173
111,194
112,163
113,163
114,181
115,184
116,159
117,160
118,157
119,179
120,153
121,159
122,159
123,135
124,145
125,139
126,167
127,146
128,129
129,131
130,117
131,128
132,139
133,113
134,124
135,110
136,141
137,130
138,116
139,109
140,85
141,119
142,127
143,96
144,89
145,91
146,79
147,75
148,95
149,85
150,97
151,79
152,86
153,79
154,90
155,88
156,68
157,79
158,86
159,65
160,60
161,73
162,71
163,64
164,63
165,56
166,58
167,67
168,56
169,72
170,68
171,62
172,49
173,54
174,44
175,60
176,47
177,48
178,48
179,44
180,40
181,52
182,38
183,38
184,33
185,32
186,44
187,42
188,32
189,29
190,45
191,35
192,33
193,43
194,23
195,26
196,29
197,37
198,38
199,29
200,30
201,27
202,16
203,17
204,24
205,18
206,13
207,20
208,17
209,17
210,16
211,24
212,19
213,19
214,19
215,16
216,12
217,17
218,18
219,13
220,7
221,7
222,21
223,14
224,13
225,14
226,12
227,8
228,17
229,12
230,9
231,9
232,11
233,9
234,7
235,8
236,7
237,12
238,9
239,7
240,6
241,7
242,8
243,5
244,8
245,12
246,6
247,5
248,10
249,3
250,5
251,2
252,12
253,5
254,3
255,7
256,1
257,4
258,7
259,1
260,4
261,8
262,4
263,7
264,4
265,4
266,8
267,3
268,4
269,3
270,2
271,2
272,1
273,1
274,3
275,2
276,1
277,3
278,1
279,2
280,4
281,1
283,2
284,1
285,2
286,4
287,4
288,1
289,1
290,1
291,4
292,2
293,1
294,1
296,1
297,1
298,2
299,3
300,1
301,1
302,1
304,3
305,2
306,2
311,2
313,1
315,1
322,1
325,2
326,1
329,1
330,1
332,1
333,1
340,1
341,1
342,1
364,1
366,1
369,1
371,1
